hydrogeniodid HI
hydrogenbromid HBr
saltsyre HCl
svovlsyre H2SO4
chlorsyre HClO3
salpetersyre HNO3
bromsyre HBrO3
hydrogenion H+
oxoniumion H3O+
iodsyre HIO3
svovlsyrling H2SO3
hydrogensulfat HSO4-
chlorsyrling HClO2
phosphorsyre H3PO4
flussyre HF
bromsyrling HBrO2
salpetersyrling HNO2
ethansyre CH3COOH
iodsyrling HIO2
carbonsyre H2CO3
dihydrogensulfid H2S
dihydrogenphosphat H2PO4-
hydrogensulfit HSO3-
hypochlorsyrling HClO
hypobromsyrling HBrO
borsyre H3BO3
ammonium NH4+
bl�syre HCN
hydrogencarbonat HCO3-
hypoiodsyrling HIO
hydrogenphosphat HPO42-
hydrogensulfid HS-
vand H2O
hydroxid OH-
oxid O2-
hydroxid OH-
sulfid S2-
phosphat PO43-
hypoiodit IO-
carbonat CO32-
cyanid CN-
ammoniak NH3
borat BO2-
hypobromit BrO-
hypochlorit ClO-
sulfit SO32-
hydrogenphosphat HPO42-
hydrogensulfid HS-
hydrogencarbonat HCO3-
iodit IO2-
acetat CH3COO-
nitrit NO2-
bromit BrO2-
fluorid F-
dihydrogenphosphat H2PO4-
chlorit ClO2-
sulfat SO42-
hydrogensulfit HSO3-
iodat IO3-
bromat BrO3-
nitrat NO3-
chlorat ClO3-
hydrogensulfat HSO4-
chlorid Cl-
bromid Br-
iodid I-
dihydrogenphosphat H2PO4-
hydrogensulfit HSO3-
hydrogencarbonat HCO3-
hydrogenphosphat HPO42-
hydrogensulfid HS-
ethansyre CH3COOH
eddikesyre CH3COOH
eddikesyre_eller_ethansyre CH3COOH
natriumhydroxid NaOH
kaliumhydroxid KOH
myresyre HCOOH
